question_id,question_text,literature_area,source_key,coverage_role,geography,sample_period,event_definition,signals_or_variables,spatial_measure,method,author_reported_finding,author_reported_limitation,page_or_section,doi_or_url,metadata_status
"Q01","What did Viefhues report about indoor CO2 around the July 2021 event?","predecessor","Viefhues2022","predecessor","Kerkrade, Netherlands","25 August 2020 to 1 September 2021","Author-defined July 2021 flood period and CO2 above 1,000 ppm","Indoor CO2, pressure, weather, groundwater and mine water","Single building","Hourly aggregation and random-forest analysis","CO2 increased during and after the July event; pressure was the leading model input.","One flood, few heavy-rain observations and uncertain flood-period boundaries.","Abstract; §§4.2.2–4.2.5; Figs. 7–9","chapter-prework/Jan_Philip_IDnr6258161_TIP%20Master%20Thesis.pdf","verified_local_pdf"
"Q02","How did Viefhues define, process and model CO2 and the flood period?","predecessor","Viefhues2022","predecessor","Kerkrade, Netherlands","25 August 2020 to 1 September 2021","CO2 above 1,000 ppm; author-imposed flood-period label","Minute indoor sensors aggregated hourly; ABC and baseline adjustments; weather and hydrology","Single building","Cleaning, resampling, oversampling and random forests","The thesis constructed an hourly threshold outcome and modelled the assigned flood period.","ABC processing, the 450-ppm adjustment, oversampling and exact device provenance complicate replication.","§§4.2.2–4.2.5; Table 1; supplied code","chapter-prework/Jan_Philip_IDnr6258161_TIP%20Master%20Thesis.pdf","verified_local_pdf"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","predecessor","Viefhues2022","predecessor","Kerkrade, Netherlands","25 August 2020 to 1 September 2021","CO2 above 1,000 ppm","Pressure level and indoor CO2","Single building","Random-forest variable importance and time-series comparison","Pressure was the most important fitted input and was interpreted as relevant to CO2 leakage.","A one-building observational model cannot isolate pressure from occupancy, processing or other coincident conditions.","§5; Figs. 8, 9 and 11","chapter-prework/Jan_Philip_IDnr6258161_TIP%20Master%20Thesis.pdf","verified_local_pdf"
"Q03","What did Eryilmaz test outside the flood period, with what scope?","predecessor","Eryilmaz2025","predecessor","Kerkrade, Netherlands","13 September 2020 to 31 May 2021","Basement CO2 above 1,000 ppm","Public weather and indoor IoT variables","Single building","Logistic-regression comparison on 2,453 common hourly observations","Public weather reproduced much of the same-site threshold discrimination outside July 2021.","One building and one pre-flood period; no high-water outcome or external site.","Abstract; §2; Tables 1–2; Figs. 3–7","chapter-prework/Eryilmaz-2025.pdf","verified_local_pdf"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","predecessor","Eryilmaz2025","predecessor","Kerkrade, Netherlands","13 September 2020 to 31 May 2021","Basement CO2 above 1,000 ppm","Pressure level and six-hour pressure change","Single building","Logistic regression","Adding six-hour pressure change raised reported public-weather AUROC from about 0.65 to about 0.94.","The association is site-specific and does not demonstrate mine-gas origin or a flood mechanism.","Figs. 6–7; §4","chapter-prework/Eryilmaz-2025.pdf","verified_local_pdf"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","mine-gas context","MeinersEtAl2016","local_context","South Limburg, Netherlands","Post-mining conditions assessed through 2016","Mine-gas migration and accumulation scenarios","CO2, methane, atmospheric pressure, mine water, pathways and receptors","District, shafts and buildings","Mining-record review and structured risk assessment","Atmospheric pressure and changing mine-water conditions can alter gas migration where source, pathway and receptor conditions coincide.","Historical mine records and the physical condition of individual pathways are incomplete.","Chapters on gas generation, migration and scenarios","https://www.tweedekamer.nl/downloads/document?id=2016D49358","verified_official_record"
"Q05","What mine-water and mine-gas conditions are documented for Aachen and South Limburg?","mine-gas context","MeinersEtAl2016","local_context","South Limburg, Netherlands","Post-mining conditions assessed through 2016","Post-mining mine-gas risk scenarios","Mine workings, shafts, seals, gas composition and receptors","District and site-specific pathways","Technical risk assessment","Mine-gas risk depends on heterogeneous sources, pathways, shaft conditions and buildings.","The report does not supply an hourly Kerkrade sensor series or rainfall-to-CO2 estimate.","Executive summary; chapters on pathways and measures","https://www.tweedekamer.nl/downloads/document?id=2016D49358","verified_official_record"
"Q05","What mine-water and mine-gas conditions are documented for Aachen and South Limburg?","mine-water context","Rosner2011","local_context","Aachen and South Limburg","Mine drainage ceased 1993–1994; historical reconstruction through dissertation period","Mine-water recovery rather than a discrete flood event","Mine-water level and chemistry, mine connectivity, mine gas, uplift and groundwater heads","Approximately 490 km² transboundary mining district","Mining and hydrogeological reconstruction with analogue conceptual model","Mine-water recovery is governed by connected workings and interactions between Carboniferous rock and overlying strata.","The changing and incompletely known hydraulic connections limit local event attribution.","Institutional abstract; chapters on recovery and gas migration","https://publications.rwth-aachen.de/record/64267","verified_official_record"
"Q05","What mine-water and mine-gas conditions are documented for Aachen and South Limburg?","mine-water context","HeitfeldEtAl2002","local_context","Aachen and connected South Limburg workings","Post-closure recovery after 1993–1994","Mine-water recovery and associated risk","Water levels, mine connections, aquifers, mine gas and ground movement","Approximately 400 km² mining district","Hydrogeological synthesis and projected recovery assessment","Recovery is staged and spatially connected; mine geometry and cover-strata interaction shape impacts.","Predictions depend on incomplete mine geometry and hydraulic properties and require monitoring.","Hydrogeological setting; impacts and control measures","10.1007/978-3-642-55668-5_119","verified_publisher_and_crossref"
"Q05","What mine-water and mine-gas conditions are documented for Aachen and South Limburg?","mine-water context","CaroCuencaEtAl2013","direct_empirical","Limburg, Netherlands","Satellite observation period reported in article","Surface deformation associated with mine-water influx","Synthetic-aperture-radar displacement and mining context","Former Limburg mining district","Persistent-scatterer interferometry","Mine-water influx was associated with spatially heterogeneous surface uplift organized by mine and geological structure.","Radar coverage and incomplete underground water and connectivity information constrain attribution.","Data and method; Figs. 3–8","10.1016/j.jappgeo.2012.10.003","verified_publisher_and_crossref"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","mine-gas mechanism","WronaEtAl2016","indirect_empirical","Abandoned coal-mine shaft, Poland","Field campaign reported in article","Episodes of shaft CO2 emission","CO2 concentration/emission and meteorological variables","One mine shaft","In-situ time-series monitoring","The shaft emitted CO2 episodically and emissions were related to atmospheric-pressure conditions.","One engineered shaft does not establish the relationship for buildings, other mines or flood periods.","Site description; time-series figures; conclusions","10.1007/s12665-016-5977-7","verified_publisher_and_crossref"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","mine-gas mechanism","WronaEtAl2025","indirect_empirical","Abandoned coal-mine shaft, Poland","In-situ monitoring period reported in article","Outward mine-gas exchange episodes","Pressure level/change, temperature difference and shaft gas","One mine shaft","Hourly time-series and lag comparison","Falling pressure promoted outward gas movement, with response sometimes continuing into early pressure rise.","Lag and magnitude depend on the monitored shaft and its underground connections.","Monitoring definitions; pressure-change results; conclusions","10.3390/su17093875","verified_publisher_and_crossref"
"Q11","What temporal windows and conditioning variables are used in flood-event studies?","mine-gas mechanism","WronaEtAl2025","indirect_empirical","Abandoned coal-mine shaft, Poland","In-situ monitoring period reported in article","Outward mine-gas exchange episodes","Hourly pressure change and temperature difference","One mine shaft","Lagged time-series comparison","Pressure change and response inertia contained information not represented by contemporaneous pressure level alone.","The observed lag is site-specific and is not a fixed Kerkrade adjustment window.","Pressure-change and lag analyses","10.3390/su17093875","verified_publisher_and_crossref"
"Q04","How can atmospheric pressure influence subsurface or mine-gas emission?","barometric mechanism","FordeEtAl2019","indirect_empirical","Controlled vadose-zone release site","Five-day injection and 24-day monitoring","Surface breakthrough from a known subsurface gas release","Gas concentration/flux, pressure, precipitation and temperature","One experimental site; release at about 12 m depth","Controlled injection with meteorological monitoring","Declining pressure produced rapid and more than twenty-fold changes in surface gas breakthrough; precipitation and temperature effects were smaller.","Lithology, water content, release geometry and an open surface differ from mines and buildings.","Field design; main time-series and flux figures","10.1038/s41598-019-50426-3","verified_publisher_and_crossref"
